"","site","lat.decimal","long.decimal","month","temp.degreesC","DO.mg_L","COND.µS","PH","chloroa.µg_L","TN.µgN_L","Nitrites.µgN_L","Nitrates.µgN_L","Ammonium.µgN_L","TP.µgP_L","SRP.µgP_L","Silicates.µg_L","cyanobacterial_counts","perc_Microcystis","perc_Anabaena","species_richness","simpson_diversity","simpson_richness","shannon_diversity","coliforms.MPN_100ml","ecoli.MPN_100ml","totalMC.ug_L","MCLR","MCYR","MCLA","C1007","C1041","C1020","dmLR","AptA","MCRR","X"
"1","Nyamaruaka",-0.17295,34.44543,"oct",26.8,5.68,150,7.77,NA,NA,NA,NA,NA,NA,NA,NA,"150,965",4,16,12,0.76,4.23,1.64,210,49,5.2,2.2,2.62,NA,0,0,0,0.08,0,0.3,NA
"2","Asat",-0.18391,34.5189,"oct",26,6.43,154,7.93,NA,NA,NA,NA,NA,NA,NA,NA,"151,698",47,7,16,0.18,1.23,0.52,120,8.1,0,0,0,NA,0,0,0,0,0.03,0,NA
"3","Ogal",-0.14175,34.59273,"oct",29.2,5.13,140,8.35,NA,1261.62,12.31,12.62,332.54,218.29,327.42,29.98,"449,162",25,3,9,0.2,1.26,0.44,120,1.8,0.06,0.02,0.02,NA,0,0,0,0,0,0.02,NA
"4","Rare",-0.14572,34.62312,"oct",28.9,4.44,168,7.16,NA,1715.97,38.88,56.76,172.54,152.57,246,27.28,"173,465",62,3,9,0.12,1.14,0.34,220,49,0.65,0.2,0.14,NA,0,0,0,0.05,0.04,0.26,NA
"5","Nyamaruaka",-0.17295,34.44543,"nov",26.7,4.73,73.5,7.94,274.8,NA,NA,NA,NA,NA,NA,NA,"50,966",0,2,16,0.67,3.04,1.52,130,130,0.44,0.28,0.08,0.06,0,0,0,0.02,0,0,NA
"6","Asat",-0.18391,34.5189,"nov",26.6,6.61,140,8.84,7.98,NA,NA,NA,NA,NA,NA,NA,"184,531",10,19,10,0.71,3.49,1.5,79,79,143.79,3.17,88,3.82,3.43,3.28,0.41,10.44,2.46,38.36,NA
"7","Ogal",-0.14175,34.59273,"nov",26.9,5.18,136,7.91,7.84,564.18,17.67,25.15,85,109.14,64.86,17.24,"84,666",48,0,8,0.18,1.22,0.48,31,23,134.3,3.96,2,0.72,0,0,0,0.42,0,127.2,NA
"8","Rare",-0.14572,34.62312,"nov",27.6,2.88,146,7.78,11.02,1076.91,33.42,287.58,520.63,274.86,150.57,19.15,"121,532",9,8,18,0.62,2.64,1.49,130,49,0.29,0.15,0.06,0.06,0,0,0,0.02,0,0,NA
"9","Nyamaruaka",-0.17295,34.44543,"feb",25.6,4.01,143,7.48,NA,NA,42,NA,76,NA,NA,NA,"751,626",14,12,16,0.66,2.94,1.36,35.24,9.63,0.52,0.29,0.1,0.1,0,0,0,0.02,0,0.01,NA
"10","Asat",-0.18391,34.5189,"feb",25.6,5.6,144,8.23,NA,NA,40,NA,72,NA,NA,NA,"1,236,921",83,16,9,0.23,1.31,0.49,NA,NA,1.17,0.61,0.32,0.14,0,0,0,0.05,0,0.04,NA
"11","Ogal",-0.14175,34.59273,"feb",24.2,5.6,131,7.68,124.86,69.14,36,13.71,76,NA,NA,NA,"205,998",27,0,21,0.16,1.2,0.48,18.58,8.38,1.39,0.6,0.36,0.39,0,0.01,0,0.04,0,0.01,NA
"12","Rare",-0.14572,34.62312,"feb",26,5.18,145,7.78,242,149.14,38,20.18,68,NA,NA,NA,"429,696",9,0,16,0.16,1.2,0.44,16.45,12.13,1.8,0.97,0.48,0.25,0.01,0.03,0,0.07,0,0.02,NA
"13","Nyamaruaka",-0.17295,34.44543,"apr",24.4,4.52,134,7.77,58.61,222.36,45.55,46.45,18.38,154.86,99.14,14.59,"2,788,172",95,2,9,0.29,1.41,0.6,3500,220,2.91,1.95,0.36,0.3,0,0,0,0.19,0,0.11,NA
"14","Asat",-0.18391,34.5189,"apr",22.4,3.51,141,8.36,24.36,282.36,16.15,18.27,21.5,139.14,103.43,16.5,"1,066,523",94,0,11,0.08,1.09,0.19,16000,1100,0.07,0.05,0,0.02,0,0,0,0,0,0,NA
"15","Ogal",-0.14175,34.59273,"apr",23.4,3.11,160,8.7,512.68,576.91,17.36,20.39,20.88,332,87.71,19.44,"172,232",62,0,11,0.22,1.29,0.44,2400,2400,0.64,0.47,0.04,0.09,0,0,0,0.04,0,0.01,NA
"16","Rare",-0.14572,34.62312,"apr",23.9,2.94,129,7.59,13.11,520.55,18.88,21.3,21.5,279.14,192,46.5,"2,528,108",95,0,8,0,1,0.02,24000,110,4.04,2.5,0.73,0.57,0.1,0,0.14,0.15,0,0.09,NA
